method,task_id,episode,run_seed,success,length
baseline,5,13,0,0.0,1000
baseline,5,14,0,1.0,267
baseline,5,15,0,1.0,263
baseline,5,16,0,1.0,214
baseline,5,17,0,1.0,393
baseline,5,18,0,1.0,306
baseline,5,19,0,1.0,486
flat,1,0,0,1.0,464
flat,1,1,0,0.0,1000
flat,1,2,0,0.0,1000
flat,1,3,0,1.0,453
flat,1,4,0,1.0,966
flat,1,5,0,1.0,347
flat,1,6,0,1.0,268
flat,1,7,0,1.0,778
flat,1,8,0,1.0,627
flat,1,9,0,0.0,1000
flat,1,10,0,0.0,1000
flat,1,11,0,0.0,1000
flat,1,12,0,1.0,352
flat,1,13,0,1.0,251
flat,1,14,0,1.0,509
flat,1,15,0,1.0,281
flat,1,16,0,1.0,764
flat,1,17,0,1.0,676
flat,1,18,0,1.0,311
flat,1,19,0,1.0,438
flat,2,0,0,1.0,235
flat,2,1,0,1.0,792
flat,2,2,0,1.0,947
flat,2,3,0,1.0,396
flat,2,4,0,1.0,261
flat,2,5,0,0.0,1000
flat,2,6,0,1.0,754
flat,2,7,0,1.0,414
flat,2,8,0,1.0,303
flat,2,9,0,1.0,212
flat,2,10,0,1.0,335
flat,2,11,0,0.0,1000
flat,2,12,0,1.0,894
flat,2,13,0,1.0,484
flat,2,14,0,1.0,277
flat,2,15,0,1.0,367
flat,2,16,0,1.0,605
flat,2,17,0,1.0,460
flat,2,18,0,1.0,449
flat,2,19,0,1.0,255
flat,3,0,0,1.0,760
flat,3,1,0,1.0,425
flat,3,2,0,1.0,243
flat,3,3,0,0.0,1000
flat,3,4,0,1.0,308
flat,3,5,0,1.0,788
flat,3,6,0,0.0,1000
flat,3,7,0,1.0,276
flat,3,8,0,0.0,1000
flat,3,9,0,1.0,259
flat,3,10,0,0.0,1000
flat,3,11,0,1.0,326
flat,3,12,0,1.0,485
flat,3,13,0,0.0,1000
flat,3,14,0,1.0,477
flat,3,15,0,1.0,353
flat,3,16,0,1.0,180
flat,3,17,0,1.0,936
flat,3,18,0,0.0,1000
flat,3,19,0,1.0,214
flat,4,0,0,0.0,1000
flat,4,1,0,0.0,1000
flat,4,2,0,0.0,1000
flat,4,3,0,0.0,1000
flat,4,4,0,0.0,1000
flat,4,5,0,0.0,1000
flat,4,6,0,0.0,1000
flat,4,7,0,0.0,1000
flat,4,8,0,0.0,1000
flat,4,9,0,0.0,1000
flat,4,10,0,0.0,1000
flat,4,11,0,0.0,1000
flat,4,12,0,1.0,489
flat,4,13,0,0.0,1000
flat,4,14,0,0.0,1000
flat,4,15,0,0.0,1000
flat,4,16,0,0.0,1000
flat,4,17,0,0.0,1000
flat,4,18,0,0.0,1000
flat,4,19,0,0.0,1000
flat,5,0,0,1.0,231
flat,5,1,0,1.0,259
flat,5,2,0,1.0,385
flat,5,3,0,1.0,366
flat,5,4,0,1.0,300
flat,5,5,0,1.0,792
flat,5,6,0,1.0,747
flat,5,7,0,1.0,264
flat,5,8,0,0.0,1000
flat,5,9,0,1.0,350
flat,5,10,0,1.0,341
flat,5,11,0,1.0,278
flat,5,12,0,1.0,251
flat,5,13,0,1.0,447
flat,5,14,0,1.0,200
flat,5,15,0,1.0,522
flat,5,16,0,1.0,696
flat,5,17,0,0.0,1000
flat,5,18,0,0.0,1000
flat,5,19,0,1.0,538
